排名,学校中文名,学校英文名,省份,类型,总分,标签
1,清华大学,Tsinghua University,北京,综合,1087.1,双一流/985/211
2,北京大学,Peking University,北京,综合,1036.3,双一流/985/211
3,浙江大学,Zhejiang University,浙江,综合,895.6,双一流/985/211
4,上海交通大学,Shanghai Jiao Tong University,上海,综合,894.2,双一流/985/211
5,复旦大学,Fudan University,上海,综合,792.4,双一流/985/211
6,南京大学,Nanjing University,江苏,综合,708.5,双一流/985/211
7,中国科学技术大学,University of Science and Technology of China,安徽,理工,653.1,双一流/985/211
8,武汉大学,Wuhan University,湖北,综合,638.7,双一流/985/211
9,华中科技大学,Huazhong University of Science and Technology,湖北,综合,638,双一流/985/211
10,西安交通大学,Xi'an Jiaotong University,陕西,综合,620.8,双一流/985/211
11,北京航空航天大学,Beihang University,北京,理工,612.8,双一流/985/211
12,哈尔滨工业大学,Harbin Institute of Technology,黑龙江,理工,607.7,双一流/985/211
13,中山大学,Sun Yat-sen University,广东,综合,597.6,双一流/985/211
14,北京理工大学,Beijing Institute of Technology,北京,理工,595.4,双一流/985/211
15,东南大学,Southeast University,江苏,综合,592.3,双一流/985/211
16,四川大学,Sichuan University,四川,综合,581.3,双一流/985/211
17,中国人民大学,Renmin University of China,北京,综合,558.1,双一流/985/211
18,同济大学,Tongji University,上海,综合,556.6,双一流/985/211
19,北京师范大学,Beijing Normal University,北京,师范,553.2,双一流/985/211
20,天津大学,Tianjin University,天津,理工,544.2,双一流/985/211
21,南开大学,Nankai University,天津,综合,528.8,双一流/985/211
22,山东大学,Shandong University,山东,综合,527.1,双一流/985/211
23,西北工业大学,Northwestern Polytechnical University,陕西,理工,519.2,双一流/985/211
24,中国农业大学,China Agricultural University,北京,农业,519.1,双一流/985/211
25,厦门大学,Xiamen University,福建,综合,512.5,双一流/985/211
26,吉林大学,Jilin University,吉林,综合,498.2,双一流/985/211
27,中南大学,Central South University,湖南,综合,497,双一流/985/211
28,大连理工大学,Dalian University of Technology,辽宁,理工,495.4,双一流/985/211
29,华东师范大学,East China Normal University,上海,师范,469.1,双一流/985/211
30,南方科技大学,Southern University of Science and Technology,广东,综合,466.9,双一流
31,湖南大学,Hunan University,湖南,综合,464.1,双一流/985/211
32,华南理工大学,South China University of Technology,广东,理工,456.4,双一流/985/211
33,电子科技大学,University of Electronic Science and Technology of China,四川,理工,453.6,双一流/985/211
34,重庆大学,Chongqing University,重庆,综合,436,双一流/985/211
35,北京科技大学,University of Science and Technology Beijing,北京,理工,429.3,双一流/211
36,南京理工大学,Nanjing University of Science & Technology,江苏,理工,419.3,双一流/211
37,南京航空航天大学,Nanjing University of Aeronautics and Astronautics,江苏,理工,417.4,双一流/211
38,东北大学,Northeastern University,辽宁,理工,398.7,双一流/985/211
39,西安电子科技大学,Xidian University,陕西,理工,391.5,双一流/211
40,兰州大学,Lanzhou University,甘肃,综合,388.4,双一流/985/211
41,北京交通大学,Beijing Jiaotong University,北京,理工,381.1,双一流/211
42,华东理工大学,East China University of Science and Technology,上海,理工,380.4,双一流/211
43,哈尔滨工程大学,Harbin Engineering University,黑龙江,理工,380.1,双一流/211
44,郑州大学,Zhengzhou University,河南,综合,380,双一流/211
